title,keywords
风控主战场：内容安全治理,内容 技术 识别 安全 介绍 治理 网站 进行 依图 工作 算法 文字 违规 训练 中国移动 研究 网络 方面 模型 ai
『体验了下』花个小钱，办件大事，拖更仨月的 HomePod mini 体验记,音箱 homepod 播放 音量 手机 功能 mini 智能家居 apple 广播 音乐 siri 自动 东西 中枢 蓝牙 语音 设备 苹果 homekit
找到反例！博士后数学家推翻困扰数学界80多年的单位猜想,猜想 元素 gardam 反例 数学家 理论 代数 相乘 抵消 单位 形状 问题 乘法 矩阵 具有 逆元 寻找 证明 kielak 研究
再造一个「谷歌大脑」？Samy Bengio加入苹果：将领导全新AI研究部门,ai 苹果 谷歌 samy bengio 论文 yoshua 技术 离开 学习 邮件 工作 研究 大脑 产品 要求 作出 系统 timnit 作者
联邦学习也不安全？英伟达研究用「没有隐私」的数据直接重建了原图,图像 方法 研究 梯度 数据 学习 优化 研究者 反转 恢复 https 输入 神经网络 隐藏 imagenet 视觉 保护 正则 真值 gradients
一站式机器学习云研发平台,模型 模块 问题 需求 数据 服务 开发 进行 代码 工作 orchest 团队 需要 项目 实现 构建 自动 共享 平台 管理
PyPy为什么能让Python比C还快？一文了解内在机制,代码 python 语言 pypy 编译 源代码 解释 运行 解释器 执行 速度 使用 time 机器码 转换 javascript print 事情 进行 科技
程序员瞎想 | 35 岁算个 P,加法 项目 数学 公司 curl google 东西 adobe 世界 专业 大学 charles world 决定 理解 复杂度 闲聊 朋友 先驱 改变
Ruby 之父：不要违背开发人员的本能,ruby 开发人员 社区 使用 语言 没有 版本 进行 python 选择 问题 并发 grigory ractor 会议 日本 系统 核心 应用程序 喜欢
加密货币挖矿正在杀死 CI 免费服务,ci 开发者 发现 layerci 货币 加密 挖矿 nodejs 运行 限制 github shippable 构建 免费 定价 travisci sandbox 脚本 使用 run
知乎数据集成平台建设实践,数据 flink 任务 平台 使用 技术 业务 能够 进行 能力 知乎 支持 建设 集成 目标 管理 流程 分享 提升 mysql
如何做好向上管理，与老板相互成就？,上司 管理 工作 下属 管理者 能够 需要 应该 时间 关系 没有 信息 沟通 获得 社会 组织 领导 资源 方式 双方
CTF+挖洞赛！第三届美团网络安全高校挑战赛，今起开始报名！,精彩 疑问 安全 响应 添加 应急 人员 运营 https www 关注 公众 比赛 问题 赛场 期待 表现 美团 中心 信号
对Kafka 和 Pulsar进行性能测试后，拉卡拉将消息平台统一换成了 Pulsar,pulsar 消息 使用 进行 存储 数据 架构 性能 降低 确认 服务 实现 方式 系统 broker 提供 功能 队列 schema 投递
蚂蚁构建服务演进史,构建 工具 maven 机器 代码 管理 jar 依赖 物理 技术 蚂蚁 缓存 项目 使用 环境 需要 资源 build ant k8s
关于读书，你也许没想过的几个问题,作者 读书 思维 实践 学习 阅读 知识 看法 理论 内容 可能 追求 信息 发现 读者 思考 世界 没有 逻辑 知道
业务团队如何统一架构设计风格？,业务 技术 积木 设计 能力 组件 模型 团队 沉淀 应用 复用 通用 约束 规约 领域 服务 边界 技术细节 仓储 重构
CVPR2021 | 任何网络都能山寨！新型黑盒对抗攻击模拟未知网络进行攻击,攻击 模拟器 学习 模型 训练 数据 梯度 网络 查询 query task meta 方法 论文 输入 输出 研究者 使用 目标 研究
基于 Flutter 的 Web 渲染引擎「北海」正式开源！,能力 kraken 渲染 开发 标准 开发者 业务 容器 性能 方案 问题 手势 技术 web 使用 熟悉 实现 flutter 需要 滚动
半路杀出一只极兔,快递 极兔 顺丰 低价 市场 烧钱 oppo 亏损 数据 进行 速递 出来 价格 补贴 带来 团队 业务 包裹 印尼 造成
TGO 学员所属企业「Kyligence」完成 7000 万美元 D 轮融资 | 会员喜报,数据 kyligence 技术 全球 公司 行业 分析 资本 企业 服务 中国 国际 平台 客户 领域 能力 开源 领先 领导者 成为
美团外卖特征平台的建设与实践,特征 平台 模型 数据 业务 进行 方式 配置 存储 任务 计算 使用 性能 能力 分组 逻辑 外卖 需要 获取 迭代
2021 ThoughtWorks 技术雷达峰会｜日程及讲师话题总览,信号 tw thoughtworks 技术 干货 故事 精选 案例 职位 经典 招聘 预告 精彩 活动 功能 介绍 insights 洞见 雷达
阿里定向广告智能投放技术体系,广告主 广告 流量 出价 优化 用户 预算 价值 点击 平台 算法 投放 能够 问题 方式 合约 策略 可能 包括 约束
『iBeta 体验报告』iOS 14.5 Beta 4 发布，新增 MagSafe 修复/自动升级管理/音乐调整等 8 项改进,ibeta 测试 音乐 版本 安装 续航 调整 系统 功能 问题 发布 接力 大家 邮件 位置 时间 尝鲜 版权 magsafe 发现
如何使用Arthas提高日常开发效率？,arthas 命令 执行 tt 使用 方法 记录 返回 调用 params 问题 观测 watch 部署 信息 选择 查看 debug 插件 获取
马斯克脑机接口公司Neuralink高层动荡：联合创始人兼总裁离职，曾想建侏罗纪公园,公司 neuralink 植入 研究 接口 脑机 大脑 产品 表示 论文 马斯克 离职 https 生物 芯片 总裁 造成 进行 社区 产生
Sanic教程: 2.配置,config mode debug 实现 环境 配置 import 需要 配置文件 服务 设置 dev 系统 切换 答案 上看 方式 asia 不妨 目前
Service Mesh架构下的认证与授权,用户 服务 需要 活动 申请 信息 系统 service 提供 逻辑 授权 微信 检查 访问 数据 处理 sidecar 成员 团队 业务
十年三次重大架构升级，微博应对“极端热点”的进阶之路,架构 业务 技术 热点 团队 研发 改造 流量 进行 系统 能力 资源 服务 体系 微博 问题 保障 方案 成本 治理
反向传播算法如何工作,函数 权重 误差 输出 计算 得出 变化 代价 向量 算法 https 公式 免费 显而易见 影响 表示 传播 例子 反向 偏置
设计模式——基于容器的分布式系统,容器 模式 应用程序 进行 需要 工作 接口 使用 实现 节点 处理 选举 系统 请求 提供 服务 分布式系统 功能 代码 运行
Ruia异步爬虫框架快速开始教程,ruia item https 目标 spider 爬虫 数据 url 代码 提取 css hacker 网页 request 进行 import 自动 使用 插件 news
我教雷军造汽车,电动车 小米 技术 可能 汽车 市场 没有 成本 汽油车 电池 觉得 应该 现在 手机 整合 传统 续航 研发 产品 发展
5G的春天还有多远,网络 星球 人们 骨干 时代 佣金 移动 体验 传输 价值观 能力 读者 没有 广告 广告主 村村通 财务 互联网 万物 懒得
遍地是钱，为什么捡不到？,互联网 现在 时代 机会 未来 中国 公司 当时 投资 网络 发展 头牌 听说 没有 觉得 netscape 小米 光环 案例 当年
忍不住谈谈房事,可能 房产 判断 价格 楼盘 超值 发展 房子 需要 投资 没有 风险 觉得 房源 成交 邻居 买房 才能 机会 空间
新加坡的教育是不是很变态,新加坡 中国 教育 名校 成绩 孩子 欧美 高考 顶尖 压力 世界 学习 没有 大学 门槛 子女 专业 水平 相比 女儿
浅谈风控的架构,规则 数据 策略 处理 平台 进行 没有 转发 业务 对比 记录 羊毛 微信 清洗 是不是 来自 阻断 行业 需要 人工
从校园到职场，你对前景很迷茫？,公司 工作 业务 员工 老板 职场 认知 领导 目标 价值 数据 提升 可能 创业 企业 格局 希望 方向 需要 出发
你管这破玩意叫哨兵？,节点 哨兵 redis 命令 slave 下线 处理 老板 源码 代码 ping 发送 监控 进行 发现 阅读 选择 启动 程序 信息
最多能创建多少个 TCP 连接？,老操 限制 端口号 连接 现在 文件 内存 描述符 线程 汉堡 tcp 问题 ip 创建 指令 告诉 进行 资源 目标 端口
看书 vs 看视频 vs 自学,影响 支持 转账 微信 二维码 ios 关闭 功能 赞赏 苹果公司 规定 公众
Linux 写时复制机制原理,进程 内存 虚拟内存 映射 复制 物理 进行 使用 地址 linux 操作 实现 需要 创建 调用 机制 过程 所示 读写 修改
上帝视角看进程调度,进程 操作系统 task counter 中断 long 视角 cpu 调度 timer 切换 上下文 函数 ecx 执行 tss 状态 跳转 switch 等待
你管这破玩意叫 RDB,内存 进程 客户端 保证 时间 redis 操作系统 主人 命令 想想看 过程 没有 复制 手头 用户 bgsavecommand 编程 db 数据 全部
黑粉儿,黑粉 粉丝 名气 歌手 成为 喜欢 英文 没有 看成 憎恨 成就 好得多 不算 喷子 地位 阅读 夸大 受挫 知道 可能
中国网络媒体哪家强？,媒体 发展 报告 网络媒体 内容 建设 公益 布局 商业 社会 技术 表明 维度 榜单 腾讯网 写稿 到位 得益于 谣言 pixabay
电影院里的怪异创新,电影 座位 按摩 电影院 体验 按摩椅 看着 屏幕 劣质 用来 付费 clickalps 高品 创新 小时 味儿 普通 出来 无法 上去
谈谈在线问诊服务,医生 平台 可能 回答 问题 患者 时间 用户 资源 内容 专业 专家 就算 提问 提出 事情 science 学生 服务 程度
苹果发布会观后感,苹果 产品线 产品 问题 公司 用户 操作系统 明白 耳机 高清 配置 查找 肯定 airtag 爱马仕 标清 乔布斯 画质 前置 着能
开工随意聊聊,通用 看一看 打开 设置 发现 管理 入口 关闭
跟几个程序员聊了聊他们的每月薪资收入,大家 技术 公司 开发 程序员 薪资 灰哥 分享 强哥 北京 加班 跳槽 群里 套房 属于 朋友 架构师 平时 文章 基本
COLA 4.0：应用架构的最佳实践,架构 领域 cola 应用 业务 处理 功能 组件 依赖 系统 结构 设计 服务 使用 定义 进行 component 需要 耦合 应该
一文教你认清领域模型和数据模型,数据 业务 数据模型 领域 设计 扩展 模型 代码 扩展性 字段 应该 概念 问题 对象 系统 建模 报价 数据库 面向 商品
复杂性应对之道——维度思维,业务 商品 代码 分析 检查 维度 订单 思考 方法论 上架 矩阵 流程 多维度 理解 item 可能 思维 组合 需要 方式
为什么说应用架构需要分类思维？,module 分类 架构 业务 cola 技术 应用 组织 component 概念 认为 领域 划分 结构 没有 能力 思想 问题 理解 进行
奥卡姆剃刀：让事情回归简单,cola private 设计 使用 行星 架构 功能 奥卡姆 框架 应用 commandbus 团队 spring cmd tmf 增加 事情 地心说 方式 interceptor
程序员必备的思维能力：抽象思维,抽象 概念 代码 抽象层次 命名 抽象思维 理解 进行 问题 设计 过程 思维 需要 使用 方法 能力 fruit 表达 string 系统
程序员必备的思维能力：结构化思维,结构 问题 信息 逻辑 没有 offer 大脑 进行 组织 需要 思维 金字塔 系统 代码 方式 结论 结构化 发现 逻辑关系 归纳
为什么 Kubernetes 要替换 Docker,returns docker kubernetes 容器 rpc cri 接口 dockershim 没有 kubelet 社区 提供 需要 维护 实现 支持 用户 功能 使用 代码
你该如何为 Kubernetes 定制特性,returns kubernetes rpc 接口 实现 api 需要 资源 调度 容器 ctx 服务 插件 社区 csi interface admission 项目 扩展 集群
CPU 和 GPU - 异构计算的演进与发展,cpu gpu 核心 执行 指令 需要 计算 处理器 缓存 提高 工程师 架构 设计 任务 连接 内存 数据 使用 处理 增加
Google 数据中心的电力超售 · OSDI '20,资源 限制 cpu 电力 使用 论文 集群 超售 系统 没有 数据中心 osdi 保证 thunderbolt 服务 调度 时间 提高 计算 性能
为什么早期的 Windows 需要整理碎片,磁盘 文件 文件系统 需要 碎片 使用 fat 系统 今天 windows 问题 硬盘 写入 软盘 机械 数据 读取 设计 https 内容
为什么 Linux 和 macOS 不需要碎片整理,碎片 设计 硬盘 整理 文件系统 性能 硬件 磁盘 固态 可能 文件 机械 https windows 没有 macos 使用 系统 相关 linux
集群管理系统 Mesos 的设计原理 · NSDI '11,调度 框架 mesos 集群 节点 提供 任务 kubernetes 资源 论文 技术 工作 设计 系统 提高 design 使用 今天 需要 相关
Facebook 集群调度管理系统 · OSDI 2020,集群 机器 kubernetes twine 资源 管理 业务 独立 实现 配置 需要 论文 调度 使用 存储系统 facebook 能够 权利 osdi 负载
谈谈 Kubernetes 的问题和局限性,kubernetes 集群 资源 社区 任务 管理 https 问题 能够 调度 节点 api 容器 cluster 联邦 需要 sig 租户 可能 使用
